week,paid_social_spend,paid_social_impressions,paid_search_spend,paid_search_impressions,programmatic_display_spend,programmatic_display_impressions,influencer_spend,influencer_impressions,dooh_spend,dooh_impressions,tv_ctv_spend,tv_ctv_impressions,conversions,promo_flag,price_index,competitor_pressure,holiday_flag
2023-01-01,38473.89380824775,699369.30755979,24010.616942555254,355108.85542386654,19361.200128551307,380376.4801010288,435.6081459959294,2695.719855029297,4685.3406433680575,136365.8578526084,21262.23559556404,124414.95767034357,1941.976621568642,0.0,100.0,57.47409853827388,0.0
2023-01-08,14131.561786588849,291833.43853226176,31595.23851647581,478570.0721519076,19344.854810076264,360510.3372906083,1129.1844571917075,5812.24170500187,7290.071576969913,228803.38267449525,52253.20899803554,302659.59163304896,1912.1669789264056,0.0,100.0,78.5976623975647,0.0
2023-01-15,54771.6824463081,1239347.2314329597,25855.519789087473,382112.95215421973,15020.589661270917,299312.86526470986,988.7230617355674,7811.754313749529,11643.260861168006,334212.1636799035,17917.30087411384,100427.18014707795,2277.6028080307915,0.0,100.0,75.5735444978595,0.0
2023-01-22,80635.2577621661,1774333.538219321,20157.975209042164,314455.70637934585,13894.949636218047,238499.08864994228,17135.067830647597,116055.24964204711,9918.367779354303,324878.6386868346,45547.01758336312,264255.7376807839,2442.762075286595,0.0,100.0,70.61056112785776,0.0
2023-01-29,43883.99428022596,975087.9849506308,4418.117417491743,79026.79746952608,25587.375434277357,509902.6840695095,10532.141038928756,63283.80694270285,7050.132739183764,213995.53107368105,32738.564562221858,197290.43637136288,2097.9978605181427,0.0,100.0,58.145169303970334,0.0
2023-02-05,2616.36427771781,63590.08410400615,21892.21005024267,362766.40815463173,20887.861668540892,389079.38867483684,1173.841217016465,7007.395190394029,3822.4478852809516,114016.10250243243,23694.12526392199,124026.34148452498,2250.474371333501,0.0,100.0,80.23056588922627,1.0
2023-02-12,44503.65556046875,888455.0231316846,19990.707951169003,310647.1583910394,10053.02411286932,171477.13688751432,7907.927155748597,57573.77036447907,5026.430095550685,138547.5322505877,5447.423503324253,30671.65989668951,2215.4360263235444,0.0,100.0,63.0560556200597,0.0
2023-02-19,40511.93092365934,926134.9945609501,11509.246805666095,190777.42188948466,11999.417409484997,213795.3142768001,0.0,0.0,2720.562453446568,76456.99138929295,506.13136418818397,3817.759087156297,1881.103222252544,0.0,100.0,65.18401280014868,0.0
2023-02-26,63248.35059983577,1247554.8316041273,11174.512394109617,185440.89538425606,1951.9244079507516,45929.00567981126,9662.90897661904,52052.32384047645,11387.13404468948,340167.4732295893,15589.999184897326,100636.81291397146,2056.2943849048866,0.0,100.0,61.81829806797238,0.0
2023-03-05,47390.87956843131,914930.5791685013,23135.30236100068,366573.2135833863,12999.93760102332,255206.95183688766,6443.232417749718,43398.26755857091,6657.143360915765,204018.703491135,25192.805921714775,180988.77874429215,2072.940733173029,0.0,100.0,51.33647288359539,0.0
2023-03-12,46315.49871712929,1024513.0039277137,31623.1095050697,484943.7669229356,18997.193681455712,390134.43371382996,8051.320071543423,50352.62613502287,7210.604775562041,228498.60932507433,31198.899532374075,168666.92385474546,2416.0287802483745,1.0,100.0,40.26835407680733,0.0
