channel,market,week,treated,spend,impressions,conversions,campaign_window,pre_period
paid_social,0,0,0,4431.583278794839,132947.49836384517,604.9909234868696,0,1
paid_social,0,1,0,3927.944403561989,117838.33210685967,671.7206618513942,0,1
paid_social,0,2,0,3963.6590849426484,118909.77254827945,723.360837331224,0,1
paid_social,0,3,0,4395.547008685192,131866.41026055577,760.1291130166209,0,1
paid_social,0,4,0,3556.054292418093,106681.6287725428,813.1221594143722,0,1
paid_social,0,5,0,4220.229833221881,126606.89499665641,838.0499752078881,0,1
paid_social,0,6,0,3970.620068491847,119118.60205475542,865.7605843079509,1,0
paid_social,0,7,0,4462.620218890603,133878.60656671808,887.0345904755159,1,0
paid_social,0,8,0,5347.384855694469,160421.54567083405,897.5862899297592,1,0
paid_social,0,9,0,5593.398825905396,167801.96477716186,906.3245495948519,1,0
paid_social,0,10,0,4716.179137016492,141485.37411049477,885.6117540146112,1,0
paid_social,0,11,0,4808.168590810874,144245.0577243262,870.9659308029072,1,0
paid_social,0,12,0,4813.405990767073,144402.17972301217,845.3512009110723,1,0
paid_social,0,13,0,4595.957171337278,137878.71514011835,788.2898411173711,1,0
paid_social,0,14,0,4568.594178313271,137057.82534939813,744.7530792666853,1,0
paid_social,0,15,0,4549.897627350659,136496.92882051977,739.8188749713221,1,0
paid_social,0,16,0,4452.773821933408,133583.21465800222,697.1437467766987,1,0
paid_social,0,17,0,4416.646539247708,132499.39617743122,671.4851810894393,1,0
paid_social,0,18,0,4414.24847971064,132427.4543913192,669.6012907833971,0,0
paid_social,0,19,0,4041.0957201654915,121232.87160496475,640.165889705622,0,0
paid_social,1,0,0,2866.4062540578193,85992.18762173459,503.1796071102661,0,1
paid_social,1,1,0,2422.2080896574585,72666.24268972376,564.7586273791887,0,1
paid_social,1,2,0,2539.571070180377,76187.1321054113,611.0664676904274,0,1
paid_social,1,3,0,2518.0365706867087,75541.09712060126,650.1814863500163,0,1
paid_social,1,4,0,2538.326910619112,76149.80731857335,695.8847028525914,0,1
paid_social,1,5,0,2681.4565241817027,80443.69572545108,748.5987260735926,0,1
paid_social,1,6,0,2798.1913058039886,83945.73917411966,769.142245374583,1,0
paid_social,1,7,0,2474.3290731367074,74229.87219410122,787.9552590605798,1,0
paid_social,1,8,0,1954.1987461679892,58625.962385039675,781.5168348799667,1,0
paid_social,1,9,0,2622.5437496475483,78676.31248942645,776.9507219934211,1,0
paid_social,1,10,0,3048.348239485086,91450.44718455258,793.9511922521268,1,0
paid_social,1,11,0,2109.952981750031,63298.589452500935,752.0200967589186,1,0
paid_social,1,12,0,2270.4140455325264,68112.4213659758,705.1663376708668,1,0
paid_social,1,13,0,2294.78484804899,68843.5454414697,662.5618515035541,1,0
paid_social,1,14,0,2561.945079380836,76858.35238142508,647.3090618467829,1,0
paid_social,1,15,0,2765.3352654658797,82960.05796397639,609.2882011932368,1,0
paid_social,1,16,0,2422.1863748093065,72665.59124427919,573.6065086647208,1,0
paid_social,1,17,0,2661.8292586022394,79854.87775806719,517.9257440723358,1,0
paid_social,1,18,0,2595.605424545276,77868.16273635828,543.1268688760351,0,0
paid_social,1,19,0,2882.9941288035193,86489.82386410558,561.0836871888181,0,0
paid_social,2,0,0,4247.373254955719,127421.19764867157,506.0521805199612,0,1
paid_social,2,1,0,4635.856788458115,139075.70365374346,581.6622704321816,0,1
paid_social,2,2,0,4072.4717703557067,122174.1531106712,641.8778530930277,0,1
paid_social,2,3,0,4610.666986553612,138320.00959660838,685.1230687546167,0,1
paid_social,2,4,0,4071.421478812469,122142.64436437408,710.4912630591032,0,1
paid_social,2,5,0,4613.736447325843,138412.09341977528,772.888774847565,0,1
paid_social,2,6,0,4323.692246632955,129710.76739898867,793.7494780042791,1,0
paid_social,2,7,0,4434.90786037781,133047.2358113343,819.1061295729561,1,0
paid_social,2,8,0,3745.086076635194,112352.58229905582,825.5490222321159,1,0
paid_social,2,9,0,4474.3969656412455,134231.90896923735,812.3004921480425,1,0
paid_social,2,10,0,4104.688514423385,123140.65543270153,770.7412372707686,1,0
paid_social,2,11,0,5205.360870691779,156160.8261207534,760.988175483484,1,0
paid_social,2,12,0,4026.544215716095,120796.32647148285,736.3465175306176,1,0
paid_social,2,13,0,4391.708394741876,131751.2518422563,680.9042901905229,1,0
paid_social,2,14,0,4631.253280254552,138937.59840763657,653.5758385252774,1,0
paid_social,2,15,0,4045.279994310199,121358.39982930597,617.6136829177426,1,0
paid_social,2,16,0,5453.952692213589,163618.5807664077,599.2389862451284,1,0
paid_social,2,17,0,3920.3344468528408,117610.03340558523,578.9358676802523,1,0
paid_social,2,18,0,3678.099327389143,110342.9798216743,577.5387141439385,0,0
paid_social,2,19,0,3982.63792899547,119479.13786986409,570.7141752718032,0,0
paid_social,3,0,0,4602.336039589934,138070.08118769803,586.3545597559395,0,1
paid_social,3,1,0,7032.708785055923,210981.2635516777,709.9906994597552,0,1
paid_social,3,2,0,7609.256330491491,228277.68991474473,726.9268569443166,0,1
paid_social,3,3,0,6655.311996870046,199659.35990610137,764.3029950931702,0,1
paid_social,3,4,0,6727.2073137332145,201816.21941199643,826.0163777221059,0,1
paid_social,3,5,0,7719.6627582364545,231589.88274709362,868.7296687716968,0,1
paid_social,3,6,0,7438.390800902317,223151.72402706952,892.5537219140992,1,0
paid_social,3,7,0,6825.281474566501,204758.44423699504,892.4165977497692,1,0
paid_social,3,8,0,7257.927377443745,217737.82132331235,926.7537247187933,1,0
paid_social,3,9,0,7322.898436102205,219686.95308306615,923.5752224434481,1,0
paid_social,3,10,0,6429.847805677824,192895.43417033472,906.0269014323269,1,0
paid_social,3,11,0,7074.66379267574,212239.9137802722,862.991297357479,1,0
paid_social,3,12,0,6067.476318795335,182024.28956386005,828.1720401491725,1,0
paid_social,3,13,0,5924.572903972789,177737.18711918368,776.3844503762613,1,0
paid_social,3,14,0,5680.442272681469,170413.26818044408,751.2702692983007,1,0
paid_social,3,15,0,6839.147605412081,205174.42816236243,723.9312858500563,1,0
paid_social,3,16,0,7811.9363469227255,234358.09040768177,696.8976163019267,1,0
paid_social,3,17,0,6795.07152042138,203852.1456126414,673.2136582025039,1,0
paid_social,3,18,0,5549.989274632158,166499.67823896476,644.9148885444047,0,0
paid_social,3,19,0,6827.991968596501,204839.75905789502,675.028335429459,0,0
paid_social,4,0,1,3744.953681232963,112348.61043698889,540.7337936796372,0,1
paid_social,4,1,1,4371.76794921746,131153.0384765238,609.2469625590231,0,1
paid_social,4,2,1,3687.0013079402465,110610.03923820739,683.3872849821861,0,1
paid_social,4,3,1,4612.554528546289,138376.63585638866,722.2914844899492,0,1
paid_social,4,4,1,3988.4435792723043,119653.30737816913,803.4555596205643,0,1
paid_social,4,5,1,4443.7895539622195,133313.68661886657,809.4746626804528,0,1
paid_social,4,6,1,7477.7130232692,224331.390698076,876.3719256973454,1,0
paid_social,4,7,1,7710.51227134056,231315.3681402168,896.9944231302857,1,0
paid_social,4,8,1,6615.838987593604,198475.16962780812,907.9072470364192,1,0
paid_social,4,9,1,7023.032400120731,210690.97200362192,903.6797513316639,1,0
paid_social,4,10,1,7126.042332158478,213781.26996475432,874.5967837922111,1,0
paid_social,4,11,1,7140.506523422707,214215.1957026812,871.732130603388,1,0
paid_social,4,12,1,6908.83183208307,207264.9549624921,802.1450855911393,1,0
paid_social,4,13,1,6337.368384847587,190121.0515454276,788.0480062680494,1,0
paid_social,4,14,1,6184.9062344976755,185547.18703493028,716.6949213061457,1,0
paid_social,4,15,1,6803.660253196892,204109.80759590675,716.655408890893,1,0
paid_social,4,16,1,7004.594153678004,210137.82461034012,639.6474814755327,1,0
paid_social,4,17,1,6315.982718108158,189479.48154324474,683.9834906024098,1,0
paid_social,4,18,1,5165.709325571309,154971.27976713926,653.2689847017791,0,0
paid_social,4,19,1,4604.025609824718,138120.76829474155,630.7419433245959,0,0
paid_social,5,0,0,3894.7607005532896,116842.82101659868,486.9595778774233,0,1
paid_social,5,1,0,4463.775395289198,133913.26185867595,572.7269627625844,0,1
paid_social,5,2,0,3779.1066666055845,113373.19999816753,586.1340180321906,0,1
paid_social,5,3,0,3751.876071550592,112556.28214651775,633.0591116344897,0,1
paid_social,5,4,0,3925.6492488996087,117769.47746698826,679.7880169115589,0,1
