channel,cell,level_mult,market,week,treated,spend,impressions,conversions,campaign_window,pre_period
paid_social,0,-0.85,0,0,1,2070.6471762070114,62119.41528621034,154.35704560760954,0,1
paid_social,0,-0.85,0,1,1,2006.6548803392304,60199.646410176916,151.2614647250055,0,1
paid_social,0,-0.85,0,2,1,1520.8459540945987,45625.37862283796,155.43314185642177,0,1
paid_social,0,-0.85,0,3,1,1947.473016246711,58424.190487401334,154.83457356977706,0,1
paid_social,0,-0.85,0,4,1,1583.2955546010244,47498.86663803073,170.04565148944693,0,1
paid_social,0,-0.85,0,5,1,1958.008208256676,58740.24624770028,148.77270329014488,0,1
paid_social,0,-0.85,0,6,1,836.7993762474204,25103.98128742261,154.9338408350864,1,0
paid_social,0,-0.85,0,7,1,296.8774885261167,8906.324655783501,158.96257104387493,1,0
paid_social,0,-0.85,0,8,1,631.6193251720371,18948.57975516111,152.52955420061602,1,0
paid_social,0,-0.85,0,9,1,219.51649024687893,6585.4947074063675,158.6848523913334,1,0
paid_social,0,-0.85,0,10,1,372.7643046637296,11182.929139911888,163.70139869525556,1,0
paid_social,0,-0.85,0,11,1,451.2423930046726,13537.271790140177,162.10211675256002,1,0
paid_social,0,-0.85,0,12,1,284.404964751369,8532.14894254107,132.57190341156883,1,0
paid_social,0,-0.85,0,13,1,483.7988732905474,14513.966198716422,166.50789643950705,1,0
paid_social,0,-0.85,0,14,1,458.28389029354315,13748.516708806295,113.65573775798424,1,0
paid_social,0,-0.85,0,15,1,338.33512135064547,10150.053640519363,130.7945495193691,1,0
paid_social,0,-0.85,0,16,1,394.39306785176933,11831.79203555308,129.7543291379063,1,0
paid_social,0,-0.85,0,17,1,235.72356263218342,7071.706878965502,113.11234287043581,1,0
paid_social,0,-0.85,0,18,1,1720.9042331845667,51627.126995537,138.35345632167784,0,0
paid_social,0,-0.85,0,19,1,1766.903919774789,53007.117593243674,133.41145312666683,0,0
paid_social,0,-0.85,1,0,1,1923.7172953964111,57711.518861892335,100.75615033021764,0,1
paid_social,0,-0.85,1,1,1,1964.6413190710082,58939.239572130246,87.57577097764187,0,1
paid_social,0,-0.85,1,2,1,2409.2815059077334,72278.445177232,116.96693863128776,0,1
paid_social,0,-0.85,1,3,1,2213.024151919638,66390.72455758914,125.70949717794633,0,1
paid_social,0,-0.85,1,4,1,1935.6664881135473,58069.99464340642,117.80263440601462,0,1
paid_social,0,-0.85,1,5,1,2192.346233369504,65770.38700108511,139.27785971855587,0,1
paid_social,0,-0.85,1,6,1,688.4148031572714,20652.444094718143,161.6249111198747,1,0
paid_social,0,-0.85,1,7,1,524.7811038447903,15743.433115343709,124.03106141533134,1,0
paid_social,0,-0.85,1,8,1,129.7720916232994,3893.162748698982,127.37910374082014,1,0
paid_social,0,-0.85,1,9,1,15.625518689237166,468.765560677115,127.5067428676849,1,0
paid_social,0,-0.85,1,10,1,87.81032424258908,2634.309727277672,130.25479016956237,1,0
paid_social,0,-0.85,1,11,1,609.4421917842502,18283.265753527507,123.2420595543039,1,0
paid_social,0,-0.85,1,12,1,177.57706072786218,5327.311821835865,101.78395705001222,1,0
paid_social,0,-0.85,1,13,1,338.60166351974914,10158.049905592474,134.83752804847322,1,0
paid_social,0,-0.85,1,14,1,0.0,0.0,93.71877611664118,1,0
paid_social,0,-0.85,1,15,1,274.2077260363677,8226.231781091032,115.18860076965389,1,0
paid_social,0,-0.85,1,16,1,446.94244243020853,13408.273272906255,87.31970329572236,1,0
paid_social,0,-0.85,1,17,1,477.9077829783215,14337.233489349645,109.2320592334417,1,0
paid_social,0,-0.85,1,18,1,2218.136122625999,66544.08367877998,99.76816761342243,0,0
paid_social,0,-0.85,1,19,1,1838.3653701903202,55150.961105709604,94.01717607088707,0,0
paid_social,0,-0.85,2,0,1,1991.2634239212307,59737.90271763692,105.28742442789182,0,1
paid_social,0,-0.85,2,1,1,2100.025139243887,63000.75417731662,122.42831240844195,0,1
paid_social,0,-0.85,2,2,1,1940.1170952503012,58203.512857509035,139.77762012664138,0,1
paid_social,0,-0.85,2,3,1,2422.0272785847696,72660.81835754309,156.4062423683234,0,1
paid_social,0,-0.85,2,4,1,1699.0501055122288,50971.50316536686,153.92646309119874,0,1
paid_social,0,-0.85,2,5,1,2240.710795324744,67221.32385974232,133.60072602945377,0,1
